Instance,GR,ILS
90_1224_16_social_0.sol,4,4
90_1291_17_social_0.sol,3,3
90_1358_19_social_0.sol,4,4
90_1425_20_social_0.sol,3,3
90_1491_21_social_0.sol,3,3
90_1558_23_social_0.sol,3,3
90_156_1_social_0.sol,4,4
90_1625_25_social_0.sol,3,3
90_1692_26_social_0.sol,3,3
90_1758_28_social_0.sol,3,3
90_1825_30_social_0.sol,3,3
90_1892_33_social_0.sol,2,2
90_1959_36_social_0.sol,2,2
90_2025_45_social_0.sol,2,2
90_223_2_social_0.sol,6,5
90_290_3_social_0.sol,6,6
90_357_4_social_0.sol,7,7
90_423_4_social_0.sol,9,8
90_490_5_social_0.sol,8,8
90_557_6_social_0.sol,7,7
90_624_7_social_0.sol,8,8
90_690_8_social_0.sol,6,6
90_757_9_social_0.sol,6,6
90_824_10_social_0.sol,6,6
90_891_11_social_0.sol,5,5
90_89_1_social_0.sol,13,13
90_957_12_social_0.sol,5,5
95_1064_12_social_0.sol,5,5
95_1138_14_social_0.sol,5,5
95_1213_15_social_0.sol,5,5
95_1287_16_social_0.sol,4,4
95_1362_17_social_0.sol,5,5
95_1436_18_social_0.sol,4,4
95_1511_20_social_0.sol,4,4
95_1586_21_social_0.sol,4,4
95_1660_23_social_0.sol,4,4
95_169_1_social_0.sol,3,3
95_1735_24_social_0.sol,3,3
95_1809_26_social_0.sol,3,3
95_1884_28_social_0.sol,3,3
95_1958_30_social_0.sol,3,3
95_2033_32_social_0.sol,3,3
95_2107_35_social_0.sol,2,2
95_2182_38_social_0.sol,3,3
95_2256_47_social_0.sol,2,2
95_244_2_social_0.sol,5,4
95_318_3_social_0.sol,7,7
95_393_4_social_0.sol,7,7
95_467_5_social_0.sol,10,9
95_542_6_social_0.sol,9,9
95_616_7_social_0.sol,9,9
95_691_7_social_0.sol,7,7
95_765_8_social_0.sol,7,7
95_840_9_social_0.sol,6,6
95_915_10_social_0.sol,6,6
95_94_1_social_0.sol,16,16
95_989_11_social_0.sol,6,6
